lesmis/lesmis_0001.wav|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|Chapitre I La Charybde du faubourg Saint-Antoine et la Scylla du faubourg du Temple|7.63
lesmis/lesmis_0002.wav|Les deux plus mémorables barricades que l'observateur des maladies sociales puisse mentionner n'appartiennent point à la période où est placée l'action de ce livre.|Les deux plus mémorables barricades que l'observateur des maladies sociales puisse mentionner n'appartiennent point à la période où est placée l'action de ce livre.|9.41
lesmis/lesmis_0003.wav|Ces deux barricades, symboles toutes les deux, sous deux aspects différents, d'une situation redoutable,|Ces deux barricades, symboles toutes les deux, sous deux aspects différents, d'une situation redoutable,|6.27
lesmis/lesmis_0004.wav|sortirent de terre lors de la fatale insurrection de juin 1848, la plus grande guerre des rues qu'ait vue l'histoire.|sortirent de terre lors de la fatale insurrection de juin quarante-huit, la plus grande guerre des rues qu'ait vue l'histoire.|9.24
lesmis/lesmis_0005.wav|Il arrive quelquefois que, même contre les principes, même contre la liberté, l'égalité et la fraternité,|Il arrive quelquefois que, même contre les principes, même contre la liberté, l'égalité et la fraternité,|6.54
lesmis/lesmis_0006.wav|même contre le vote universel, même contre le gouvernement de tous par tous, du fond de ses angoisses, de ses découragements, de ses dénûments, de ses fièvres, de ses détresses, de ses miasmes, de ses ignorances,|même contre le vote universel, même contre le gouvernement de tous par tous, du fond de ses angoisses, de ses découragements, de ses dénûments, de ses fièvres, de ses détresses, de ses miasmes, de ses ignorances,|14.0
lesmis/lesmis_0007.wav|de ses ténèbres, cette grande désespérée, la canaille, proteste, et que la populace livre bataille au peuple.|de ses ténèbres, cette grande désespérée, la canaille, proteste, et que la populace livre bataille au peuple.|8.89
lesmis/lesmis_0008.wav|Les gueux attaquent le droit commun; l'ochlocratie s'insurge contre le démos.|Les gueux attaquent le droit commun; l'ochlocratie s'insurge contre le démos.|6.55
lesmis/lesmis_0009.wav|Ce sont là des journées lugubres; car il y a toujours une certaine quantité de droit même dans cette démence, il y a du suicide dans ce duel; et ces mots,|Ce sont là des journées lugubres; car il y a toujours une certaine quantité de droit même dans cette démence, il y a du suicide dans ce duel; et ces mots,|9.75
lesmis/lesmis_0010.wav|qui veulent être des injures, gueux, canaille, ochlocratie, populace, constatent, hélas!|qui veulent être des injures, gueux, canaille, ochlocratie, populace, constatent, hélas!|7.67
lesmis/lesmis_0011.wav|plutôt la faute de ceux qui règnent que la faute de ceux qui souffrent; plutôt la faute des privilégiés que la faute des déshérités.|plutôt la faute de ceux qui règnent que la faute de ceux qui souffrent; plutôt la faute des privilégiés que la faute des déshérités.|8.28
lesmis/lesmis_0012.wav|Quant à nous, ces mots-là, nous ne les prononçons jamais sans douleur et sans respect, car, lorsque la philosophie sonde les faits auxquels ils correspondent,|Quant à nous, ces mots-là, nous ne les prononçons jamais sans douleur et sans respect, car, lorsque la philosophie sonde les faits auxquels ils correspondent,|9.18
lesmis/lesmis_0013.wav|elle y trouve souvent bien des grandeurs à côté des misères. Athènes était une ochlocratie; les gueux ont fait la Hollande;|elle y trouve souvent bien des grandeurs à côté des misères. Athènes était une ochlocratie; les gueux ont fait la Hollande;|8.29
lesmis/lesmis_0014.wav|la populace a plus d'une fois sauvé Rome; et la canaille suivait Jésus-Christ.|la populace a plus d'une fois sauvé Rome; et la canaille suivait Jésus-Christ.|5.5
lesmis/lesmis_0015.wav|Il n'est pas de penseur qui n'ait parfois contemplé les magnificences d'en bas. C'est à cette canaille que songeait sans doute saint Jérôme,|Il n'est pas de penseur qui n'ait parfois contemplé les magnificences d'en bas. C'est à cette canaille que songeait sans doute saint Jérôme,|8.18
lesmis/lesmis_0016.wav|et à tous ces pauvres gens, et à tous ces vagabonds, et à tous ces misérables d'où sont sortis les apôtres et les martyrs, quand il disait cette parole mystérieuse:|et à tous ces pauvres gens, et à tous ces vagabonds, et à tous ces misérables d'où sont sortis les apôtres et les martyrs, quand il disait cette parole mystérieuse:|8.72
lesmis/lesmis_0017.wav|_Fex urbis, lex orbis._|Fex urbis, lex orbis.|3.48
lesmis/lesmis_0018.wav|Les exaspérations de cette foule qui souffre et qui saigne, ses violences à contre-sens sur les principes qui sont sa vie, ses voies de fait contre le droit, sont des coups d'État populaires, et doivent être réprimés.|Les exaspérations de cette foule qui souffre et qui saigne, ses violences à contre-sens sur les principes qui sont sa vie, ses voies de fait contre le droit, sont des coups d' tat populaires, et doivent être réprimés.|12.39
lesmis/lesmis_0019.wav|L'homme probe s'y dévoue, et, par amour même pour cette foule, il la combat. Mais comme il la sent excusable tout en lui tenant tête!|L'homme probe s'y dévoue, et, par amour même pour cette foule, il la combat. Mais comme il la sent excusable tout en lui tenant tête!|8.9
lesmis/lesmis_0020.wav|comme il la vénère tout en lui résistant! C'est là un de ces moments rares où, en faisant ce qu'on doit faire,|comme il la vénère tout en lui résistant! C'est là un de ces moments rares où, en faisant ce qu'on doit faire,|7.52
lesmis/lesmis_0021.wav|on sent quelque chose qui déconcerte et qui déconseillerait presque d'aller plus loin; on persiste, il le faut; mais la conscience satisfaite est triste,|on sent quelque chose qui déconcerte et qui déconseillerait presque d'aller plus loin; on persiste, il le faut; mais la conscience satisfaite est triste,|9.43
lesmis/lesmis_0022.wav|et l'accomplissement du devoir se complique d'un serrement de coeur. Juin 1848 fut, hâtons-nous de le dire, un fait à part,|et l'accomplissement du devoir se complique d'un serrement de coeur. Juin quarante-huit fut, hâtons-nous de le dire, un fait à part,|9.42
lesmis/lesmis_0023.wav|et presque impossible à classer dans la philosophie de l'histoire.|et presque impossible à classer dans la philosophie de l'histoire.|3.86
lesmis/lesmis_0024.wav|Tous les mots que nous venons de prononcer doivent être écartés quand il s'agit de cette émeute extraordinaire où l'on sentit la sainte anxiété du travail réclamant ses droits.|Tous les mots que nous venons de prononcer doivent être écartés quand il s'agit de cette émeute extraordinaire où l'on sentit la sainte anxiété du travail réclamant ses droits.|9.94
lesmis/lesmis_0025.wav|Il fallut la combattre, et c'était le devoir, car elle attaquait la République. Mais, au fond, que fut juin 1848?|Il fallut la combattre, et c'était le devoir, car elle attaquait la République. Mais, au fond, que fut juin qurante-huit?|8.79
lesmis/lesmis_0026.wav|Une révolte du peuple contre lui-même. Là où le sujet n'est point perdu de vue, il n'y a point de digression;|Une révolte du peuple contre lui-même. Là où le sujet n'est point perdu de vue, il n'y a point de digression;|8.05
lesmis/lesmis_0027.wav|qu'il nous soit donc permis d'arrêter un moment l'attention du lecteur sur les deux barricades absolument uniques dont nous venons de parler et qui ont caractérisé cette insurrection.|qu'il nous soit donc permis d'arrêter un moment l'attention du lecteur sur les deux barricades absolument uniques dont nous venons de parler et qui ont caractérisé cette insurrection.|9.63
lesmis/lesmis_0028.wav|L'une encombrait l'entrée du faubourg Saint-Antoine; l'autre défendait l'approche du faubourg du Temple;|L'une encombrait l'entrée du faubourg Saint-Antoine; l'autre défendait l'approche du faubourg du Temple;|6.11
lesmis/lesmis_0029.wav|ceux devant qui se sont dressés, sous l'éclatant ciel bleu de juin, ces deux effrayants chefs-d'oeuvre de la guerre civile, ne les oublieront jamais.|ceux devant qui se sont dressés, sous l'éclatant ciel bleu de juin, ces deux effrayants chefs-d'oeuvre de la guerre civile, ne les oublieront jamais.|9.12
lesmis/lesmis_0030.wav|La barricade Saint-Antoine était monstrueuse; elle était haute de trois étages et large de sept cents pieds.|La barricade Saint-Antoine était monstrueuse; elle était haute de trois étages et large de sept cents pieds.|6.17
lesmis/lesmis_0031.wav|Elle barrait d'un angle à l'autre la vaste embouchure du faubourg, c'est-à-dire trois rues; ravinée, déchiquetée, dentelée, hachée, crénelée d'une immense déchirure, contre-butée de monceaux qui étaient eux-mêmes des bastions,|Elle barrait d'un angle à l'autre la vaste embouchure du faubourg, c'est-à-dire trois rues; ravinée, déchiquetée, dentelée, hachée, crénelée d'une immense déchirure, contre-butée de monceaux qui étaient eux-mêmes des bastions,|14.42
